ID,Address,Class,ClassName,CodeNum,CodeName,EmergencyRoom,Remark,Explanation,NearSubway,Name,Phone1,Phone2,EndTime(Mon),EndTime(Tue),EndTime(Wed),EndTime(Thu),EndTime(Fri),EndTime(Sat),EndTime(Sun),EndTime(Holiday),StartTime(Mon),StartTime(Tue),StartTime(Wed),StartTime(Thu),StartTime(Fri),StartTime(Sat),StartTime(Sun),StartTime(Holiday),Zipcode1,Zipcode2,Lat,Long,OperationTime,Safety
A1100001,서울특별시 동대문구 경희대로 23 (회기동),A,종합병원,G006,지역응급의료센터,1,진료시간확인-14.12.17,서울대입구역 2번 출구 100 미터 이내입니다 . 지하2층에 주차장 있읍니다 .,회기역 1번 출구,경희대학교병원,02-958-8114,02-958-8282,1730,1730,1730,1730,1730,1230,1800,1500,830,830,830,830,830,900,900,1000,24,47,127.0518322,37.59387655,54:53.0,83
A1100014,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),A,종합병원,G001,권역응급의료센터,1,외상수련기관,고려고든정외과는 서울시 금천구 시흥사거리  신한은행4층에 위치하고 있으며 항시 정형외과 전문의가 상주하고 있습니다 입원실 운영하며 산재자보 의보 의료보호 등 모든진료가 가능한 병원입니다,구로구청 인근,고려대학교의과대학부속구로병원,02-2626-1114,02-2626-1550,1730,1730,1730,1730,1730,1200,1300,1300,900,900,900,900,900,900,900,900,83,8,126.8847449,37.49211115,54:53.0,80
A1100026,서울특별시 구로구 경인로 427 구로성심병원 (고척동),A,종합병원,G007,지역응급의료기관,1,일반진료 0/백내장수술만/입원실X,안녕하세요? 최고의 치료가 될 수 있도록 최선을 다하는 구대한의원입니다. 머리떨림 틱장애 파킨슨병 디스크 등의 질환을 치료합니다.,구일역 2번 출구 고척 스카이 돔구장 맞은편,구로성심병원,02-2067-1500,02-2067-1515,1730,1730,1730,1730,1730,1230,1600,1800,900,900,900,900,900,900,900,830,82,23,126.8663604,37.49964579,54:54.0,n/a
A1100052,서울특별시 중구 을지로 245 (을지로6가),A,종합병원,G099,응급의료기관 이외,1,장애인 재활 전문병원/재활의학과 외에 다른 진료 없음,외래 30분전 접수마감/토요일은 일부과만 진료하며 진료과 사정상 토요진료가 어려울 수 있으니 안내전화로 문의 후 내원하시기 바랍니다.  ☎ 1588-1775(ARS 안내),동대문역사문화공원역 13번출구 도보5분,국립중앙의료원,222607114,02-2260-7414,1700,1700,1700,1700,1700,1200,2400,2400,830,830,830,830,830,830,0,0,45,64,127.0057954,37.56733956,54:54.0,85
A1100048,서울특별시 노원구 한글비석로 68 을지병원 (하계동),A,종합병원,G006,지역응급의료센터,1,토요일 135번째 주 1시까지 진료/중학생이상 진료,일반진료/미용성형/봉합/,하계역 3번 출구,노원을지대학교병원,02-970-8000,02-970-8282,1700,1700,1700,1700,1700,1200,1700,1500,900,900,900,900,900,900,900,900,18,30,127.0700028,37.63644293,54:56.0,81
A1100044,서울특별시 중랑구 사가정로49길 53 (면목동),A,종합병원,G007,지역응급의료기관,1,수액O/신생아부터/검사(혈액X-ray심전도위내시경초음파),일반진료/미용성형/봉합/,사가정역 1번 출구/까치어린이공원 옆,녹색병원,02-490-2000,02-490-2113,1730,1730,1730,1730,1730,1230,1400,1300,830,830,830,830,830,830,930,900,22,21,127.0860555,37.58362084,54:56.0,n/a
A1100037,서울특별시 영등포구 시흥대로 657 (대림동 대림성모병원),A,종합병원,G007,지역응급의료기관,1,수액O/1세이상,매주 수요일 야간 진료,구로디지털단지역 6번 출구 도보 10분,대림성모병원,02-829-9000,02-829-9129,1730,1730,1730,1730,1730,1230,1300,1500,830,830,830,830,830,830,930,900,74,42,126.9071695,37.49068925,54:56.0,n/a
A1100114,서울특별시 양천구 남부순환로 331 (신월동 메디힐병원),B,병원,G009,응급실운영신고기관,1,ER-OSGS 필요시 응급OP가능/TA입원가능,체형교정센터를 찾아주시는 환자 분들의 편의를 위한 사전 예약서비스입니다. 예약이 어려우시면 02-978-9910으로 전화 주세요.,5호선 화곡역 / 신월5동 주민센터인근,메디힐병원,02-2604-7551,02-2602-2468,1800,1800,1800,1800,1800,1300,1800,1800,900,900,900,900,900,900,1000,1000,79,5,126.8278418,37.53726143,54:59.0,n/a
A1100024,서울특별시 영등포구 도림로 156 명지성모병원 (대림동),A,종합병원,G007,지역응급의료기관,1,CT 장비갯수 2대,보건복지부 지정 뇌혈관 전문병원 ( 종합병원 ),대림역 11번 출구,명지성모병원,02-1899-1475,02-829-7800,1800,1800,1800,1800,1800,1300,1800,1300,900,900,900,900,900,900,1400,1000,74,17,126.8992545,37.49385071,54:59.0,n/a
A1100046,서울특별시 강서구 강서로 295 (내발산동),A,종합병원,G009,응급실운영신고기관,1,.,종합병원이며 산부인과 전문병원입니다. 진료과목은 소아청소년과내분비내과소화기내과심장내과류마티스내과가정의학과비뇨의학과외과영상의학과마취통증의학과병리과진단검사의학과 전문센터로는 Miz분만센터아이드림센터(난임)키즈센터복강경센터유방센터소화기내시경센터국민건강검진센터 운영.,압구정로데오역 2번 출구와 청담역 9번 출구 사이/청담사거리 인근,미즈메디병원,02-2007-1000,02-2007-1118,1700,1700,1700,1700,1700,1230,1300,1500,830,830,830,830,830,830,900,1030,76,39,126.8360254,37.55225379,55:00.0,n/a
A1100036,서울특별시 강서구 공항대로 389 부민병원 (등촌동),A,종합병원,G007,지역응급의료기관,1,연세봉래빌딩 아케이드,무섭고 긴장되는 치과진료  편하고 따뜻하게 치료 받으실 수 있도록 언제나 정성을 다한 진료를 약속드립니다. 궁금하신 점은 02-487-9875로 편하게 연락주세요.,제기동역 2번 출구,부민병원,1577-7582,02-2620-0119,1800,1700,1700,1700,1700,1300,1700,1800,900,900,900,900,900,900,930,1000,75,90,126.8509495,37.55694089,55:02.0,n/a
A1100148,서울특별시 관악구 남부순환로 1860 -11345층 (봉천동  ),B,병원,G009,응급실운영신고기관,1,호스피스X/소아X/인공호흡기O,건강검진실/인공신장실 운영 보훈위탁병원 자보/산재 지정병원,2호선 서울대입구역 1번출구 200m,사랑의병원,02-880-0114,02-880-0119,1800,1800,1800,1800,1800,1300,1900,1900,900,900,900,900,900,900,800,800,87,89,126.9562869,37.47962442,55:02.0,n/a
A1100010,서울특별시 강남구 일원로 81 (일원동 삼성의료원),A,종합병원,G006,지역응급의료센터,1,2014.04 총면적 248085.03(양성자센터 신축) 변경대표번호1 지역번호 추가20170118150453,외래진료시간은 진료과목별 운영,일원역 1번 출구,삼성서울병원,02-3410-2114,02-3410-2060,1530,1530,1530,1530,1530,1300,1300,1300,830,830,830,830,830,900,900,800,63,51,127.0866825,37.48851613,55:02.0,88
A1100021,서울특별시 동대문구 망우로 82 (휘경동),A,종합병원,G006,지역응급의료센터,1,달빛어린이병원 일시 운영중단(17.2.17.~),수액o/이물제거x/소아진료가능,회기역 2번 출구,삼육서울병원,02-2244-0191,02-2210-3566,1700,1700,1700,1700,1200,1500,1700,1700,900,900,900,900,900,930,900,1000,25,0,127.0653288,37.587992,55:02.0,80
A1100017,서울특별시 종로구 대학로 101 (연건동),A,종합병원,G001,권역응급의료센터,1,20.01.01 소아전문응급의료센터 신규지정,서울대학교병원 치과진료는 서울대학교 치과병원에 문의 및 별도 접수 필요,혜화역 3번 출구,서울대학교병원,1588-5700,02-2072-2475,1800,1800,1800,1800,1800,1330,1200,2200,800,800,800,800,800,800,900,900,30,80,126.9989631,37.57966609,55:03.0,83
A1100050,서울특별시 동대문구 왕산로 259 서울성심병원 (청량리동),A,종합병원,G007,지역응급의료기관,1,정형외과 내과 외과 신경과 소아청소년과 산부인과 치과 운영 MRI CT X-RAY 초음파 혈액검사 수액처치 상처봉합 혈액투석 등 실시가능,황학동 곱창골목에 위치한 가정의학과 입니다,청량리역 3번 출구,서울성심병원,02-966-1616,02-966-1616,1740,1730,1740,1730,1740,1300,1400,1400,900,900,900,900,900,900,1000,1000,24,88,127.0498381,37.58419129,55:04.0,n/a
A1100040,서울특별시 동작구 보라매로5길 20 (신대방동),A,종합병원,G006,지역응급의료센터,1,갑상선센터관절척추전문센터뇌졸증센터당뇨내분비센터눈사랑센터성형재건센터소화기병전문센터심혈관센터양악수술센터유방센터임플란트센터결석내시경센터장기이식센터전립선센터종합건강검진센터 등,서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.,제기동역 6번 출구,서울특별시보라매병원,02-870-2114,02-870-2119,1700,1700,1700,1700,1700,1200,1330,1330,900,900,900,900,900,900,900,900,70,61,126.9240488,37.4937184,55:04.0,82
A1100035,서울특별시 중랑구 신내로 156 (신내동),A,종합병원,G006,지역응급의료센터,1,결핵병원. 결핵환자는 24시간 진료가능(02-3156-3007),응급결핵환자는 휴일없이 24시간 접수가능함,봉화산역 3번 출구/신내역 1번 출구,서울특별시서울의료원,02-2276-7000,02-2276-7403,1730,1730,1730,1730,1730,1230,1800,1800,900,900,900,900,900,900,900,900,20,53,127.0980911,37.61286932,55:04.0,81
A1100172,서울특별시 강북구 도봉로 374 (번동 서울현대병원),B,병원,G009,응급실운영신고기관,1,미세수지접합/관절. 척추 /건강검진/관절경.복강경/골절/외상/절단/충부염 탈장담석등 복강경수술/MRT.CT검사,24시간 응급진료 및 응급수술하며. 특히 상하지절단 접헙수술 힘줄 혈관신경절단접합 수술 골절 및 탈구수술 및 정복 어깨 및 슬관절.고관절.기타관절의 인공관절수술 척추체골절 및 디스크파열 수술 맹장.탈장.담석등 복강경수술  기타 MRI.CT.초음파.위대장내시경등 검사.,4호선 수유역 1번 출구(강북구청 사거리),서울현대병원,1588-6853,02-902-9119,1800,1800,1800,1800,1800,1300,1400,2100,900,900,900,900,900,900,1000,900,10,56,127.0281656,37.63992822,55:05.0,n/a
A1100028,서울특별시 강동구 성안로 150 (길동),A,종합병원,G006,지역응급의료센터,1,12개월이상,공휴일 1시에서 3시 정도에 진료 마감(변동있음),강동역 2번 출구,성심의료재단강동성심병원,02-2224-2114,02-2224-2358,1700,1700,1700,1700,1700,1200,1900,1500,830,830,830,830,830,830,1030,830,53,55,127.1352635,37.53598408,55:05.0,84
A1100054,서울특별시 영등포구 여의대방로53길 22 (신길동 성애병원),A,종합병원,G006,지역응급의료센터,1,소아/봉합/,뇌신경센터 소화기내시경센터 관절센터 등을 운영하고 있으며 응급심혈관시술 가능 응급의료센터는 24시간 전문의 직접 진료 가능.,대방역 3번 출구,성애의료재단성애병원,02-840-7114,02-840-7115,1730,1730,1730,1730,1730,1300,1300,1500,900,900,900,900,900,900,800,830,73,54,126.9223673,37.51205045,55:05.0,78
A1100032,서울특별시 종로구 통일로 256 (무악동),A,종합병원,G007,지역응급의료기관,1,통증크리닉,뇌신경센터 소화기내시경센터 관절센터 등을 운영하고 있으며 응급심혈관시술 가능 응급의료센터는 24시간 전문의 직접 진료 가능.,독립문역 1번 출구,세란병원,02-737-0181,02-737-0181,1800,1800,1800,1800,1800,1230,1400,2300,900,900,900,900,900,900,1000,900,30,30,126.9577072,37.57534017,55:05.0,n/a
A1100004,서울특별시 용산구 대사관로 59 (한남동),A,종합병원,G006,지역응급의료센터,1,일반진료/피부미용/화상,비만/비염/통증(어깨 허리 무릎),효창공원앞역 2번출구 금양초 맞은편,순천향대학교부속서울병원,02-709-9114,02-709-9117,1700,1700,1700,1700,1700,1300,1400,1400,900,900,900,900,900,900,900,900,44,1,127.004418,37.53384172,55:06.0,83
A1100063,서울특별시 마포구 서강로 110 지2층~6층 (신수동),B,병원,G009,응급실운영신고기관,1,수지접합전문병원척추관절미세수지접합 전문/02-337-7582(119)대표번호1 지역번호 추가20170118150453,신촌 로터리 위치 절단혈관신경 등 미세수지 접합 수술 잘함. 24시간 365일 응급실 운영,신촌지하철역 8번출구,신촌연세병원,02-337-7582,02-337-7582,1700,1700,1700,1700,1700,1230,2359,1700,830,830,830,830,830,830,0,900,40,94,126.9337294,37.55257735,55:07.0,n/a
A1100045,서울특별시 영등포구 영등포로36길 13 (영등포동4가 충무병원),A,종합병원,G009,응급실운영신고기관,1,ER - GSOS 응급OP 가능 내과 & 산부인과 & 신경과 진료 가능,CM병원은 68년의 전통을 가진 종합병원으로서 정형외과1~11 내과1~3 산부인과  일반외과 신경과 마취통증의학과 진단검사의학과 영상진단의학과 건강관리과를 갖추고 있습니다.,영등포소방서 뒷편 영등포 타임스퀘어 맞은편,씨엠병원,02-2678-0001,070-4698-7811,1730,1730,1730,1730,1730,1230,1600,1400,900,900,900,900,900,900,1000,900,73,1,126.9036798,37.51884833,55:07.0,n/a
A1100041,서울특별시 관악구 남부순환로 1636 양지병원 (신림동),A,종합병원,G006,지역응급의료센터,1,응급실 : 유아이상진료가능(경련X/간단증상0),26개과 281병상 운영 종합병원,서울 관악구 신림동 신림사거리에서 강남방향100미터(지하철2호선1번출구),에이치플러스양지병원,02-1877-8875,070-4665-9119,1730,1730,1730,1730,1730,1230,1500,1300,830,830,830,830,830,830,930,900,87,79,126.9325392,37.48427507,55:08.0,81
A1100015,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),A,종합병원,G006,지역응급의료센터,1,소아진료(협조가능시)/봉합/교정/턱관절(간단)/,소아청소년과전문의,한티역 6번 출구 도곡중 옆,연세대학교의과대학강남세브란스병원,02-2019-3114,02-2019-3333,1730,1730,1730,1730,1730,1230,1800,1430,830,830,830,830,830,830,1400,1000,62,73,127.0463125,37.49280698,55:09.0,83
A1100042,서울특별시 강서구 하늘길 70 (과해동),A,종합병원,G009,응급실운영신고기관,1,척추 관절 전문/봉합x / 물리0,척추관절 원인치료 서울김포공항 우리들병원,1)지하철 김포공항역 내려서 한국공항공사 출구에서 200m 2)버스 정류장 한국공항공사하차후 100m,우리들병원,02-2660-7500,02-2660-7057,1800,1800,1800,1800,1800,1300,1300,1300,930,930,930,930,930,930,900,900,75,5,126.7963653,37.56199597,55:11.0,n/a
A1100152,서울특별시 은평구 연서로 177 (갈현동),B,병원,G009,응급실운영신고기관,1,2018.04.16 (기관급)지정취소 2018.04.17. 응급의료시설 신고 2020.04.01. 응급의료시설 반납 2020.05.04. 응급의료시설 지정,갑상선유방치질하지정맥류 전문,6호선 구산역 4번출구 36호선 연신내역 6번 출구,은평연세병원,02-388-8114,02-388-0119,1730,1730,1730,1730,1730,1230,1400,1300,830,830,830,830,830,830,1000,900,33,34,126.917472,37.61469222,55:12.0,n/a
A1100025,서울특별시 서대문구 연희로 272 동신병원 본관동 (홍은동),A,종합병원,G007,지역응급의료기관,1,응급실 내선 1111/1110,점심시간 12:00~13:00,서대문구청앞 교차로 인근,의료법인동신의료재단동신병원,02-396-9161,02-396-9161,1730,1730,1730,1730,1730,1230,1300,1300,900,900,900,900,900,900,900,900,36,53,126.9365831,37.58110428,55:12.0,n/a
A1100030,서울특별시 강북구 도봉로 301 (수유동 대한병원),A,종합병원,G009,응급실운영신고기관,1,2014.05.07 기관 취소/2020.1.22 지역기관지정 NEDIS 참여사업 미참여로 수정(150421),수액O/4세이상/이물제거O,지하철 4호선 수유역 5번 출구역 정면방향 3분거리,의료법인성화의료재단대한병원,02-903-3231,02-905-9110,1800,1800,1800,1800,1800,1300,1900,1900,900,900,900,900,900,900,900,900,10,81,127.0226725,37.63547043,55:12.0,n/a
A1100255,서울특별시 영등포구 당산로31길 10 (당산동3가),B,병원,G009,응급실운영신고기관,1,상처 소독만 가능 봉합 이물질 제거 불가 건강검진위주/내과소아과(12개월이상)가정의학과/수액o/,의료법인 우리아이들 의료재단은 365일 아이들의 건강을 위해 다각화된 소아전문 협진 시스템 및 대학병원 수준의 신속하고 다양한 검사로 아이중심의 진료를 최우선으로 하고 있습니다.,영등포구청역 3번 출구  영등포구청 옆,의료법인인봉의료재단영등포병원,02-2635-2809,02-2632-0013,1730,1730,1730,1730,1730,1230,1700,1700,830,830,830,830,830,830,900,900,72,56,126.8956126,37.52685674,55:12.0,n/a
A1100023,서울특별시 은평구 통일로 873 (갈현동),A,종합병원,G007,지역응급의료기관,1,2014.03 개업/2014.05 총면적 및 병상 수 변경,뇌졸중 파킨슨병 치매를 비롯한 노인성질환에 적합한 신경과 재활의학 및 신장내과 한방과 진료합니다. [전문재활치료 신경과특화 인공신장실 양한방협진 인증의료기관 적정성평가1등급 소방안전관리모범사업장],연신내역 7번 출구,의료법인청구성심병원,02-350-3300,02-383-0129,1730,1730,1730,1730,1730,1220,2200,2200,830,830,830,830,830,830,900,900,33,30,126.919554,37.62079154,55:12.0,n/a
A1100075,서울특별시 중랑구 망우로 511 (망우동 동부제일병원),A,종합병원,G007,지역응급의료기관,1,2014.03 개업/2014.05 총면적 및 병상 수 변경,건강검진센터를 포함한 모든 진료과가 08시(오전 8시) 부터 시작합니다.,7호선 상봉역 5번출구에서 구리방향버스 탑승,의료법인풍산의료재단동부제일병원,02-437-5011,02-490-8880,1730,1730,1730,1730,1730,1230,2200,2200,800,800,800,800,800,800,900,900,20,63,127.1090292,37.60067565,55:12.0,n/a
A1100020,서울특별시 도봉구 우이천로 308 (쌍문동),A,종합병원,G006,지역응급의료센터,1,간단봉합O,의료법인한국의료재단,쌍문역 3번 출구,의료법인한전의료재단한일병원,02-901-3114,02-901-3119,1730,1730,1730,1730,1730,1400,2200,2200,900,900,900,900,900,900,900,900,14,50,127.0290242,37.6461157,55:12.0,82
A1100005,서울특별시 양천구 안양천로 1071 (목동),A,종합병원,G001,권역응급의료센터,1,수액처치/ 유방초음파//외래진료만 진료시간확인-14.12.16,평일 외래진료시간 진료과목별 차이운영,당산역 영등포구청역 오목교역에서 셔틀버스 이용,이화여자대학교의과대학부속목동병원,02-2650-5114,02-2650-5911,1800,1800,1800,1800,1800,1200,1800,1300,800,800,800,800,800,900,1000,1000,79,85,126.886216,37.53654283,55:13.0,80
A1120796,서울특별시 강서구 공항대로 260 이화여자대학교 제2부속병원 (마곡동),A,종합병원,G006,지역응급의료센터,1,수액처치/ 유방초음파//외래진료만 진료시간확인-14.12.16,평일 외래진료시간 진료과목별 차이운영,당산역 영등포구청역 오목교역에서 셔틀버스 이용,이화여자대학교의과대학부속서울병원,1522-7000,02-6986-5119,1700,1700,1700,1700,1700,1200,1800,1300,830,830,830,830,830,830,1000,1000,78,4,126.8362659,37.55726115,55:13.0,85
A1100016,서울특별시 노원구 동일로 1342 상계백병원 (상계동),A,종합병원,G006,지역응급의료센터,1,2015년 상급종합병원 취소대표번호1 지역번호 추가20170118150453/ 029501100(직통번호 190515수정),안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료 약침 추나치료를 위주로 하고있으며  그외 여성질환 자동차보험치료 피부질환치료 산후관리 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani,중계역 1번 출구,인제대학교상계백병원,02-950-1114,02-950-1119,1700,1700,1700,1700,1700,1200,1300,1300,900,900,900,900,900,900,900,900,17,57,127.0631162,37.64858127,55:13.0,81
A1100033,서울특별시 중구 마른내로 9 (저동2가),A,종합병원,G007,지역응급의료기관,1,2021.07.20. 지역응급의료기관 지정,안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료 약침 추나치료를 위주로 하고있으며  그외 여성질환 자동차보험치료 피부질환치료 산후관리 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani,을지로3가역 12번 출구,인제대학교서울백병원,02-2270-0114,02-2270-0119,1700,1700,1700,1700,1700,1200,1300,1300,830,830,830,830,830,830,900,900,45,51,126.9888453,37.56507317,55:13.0,n/a
A1100018,서울특별시 강남구 도곡로 429 (대치동 베스티안병원 2층일부 제외),A,종합병원,G009,응급실운영신고기관,1,지역응급의료기관 취소(자진반납 2018.06.01.),보건복지부지정 화상질환 전문병원 및 종합병원 - 응급실에서는 화상진료 및 드레싱위주로 진료합니다. 내과는 진료가능여부 확인 후 방문해주세요,한티역 2번출구,재단법인베스티안재단베스티안서울병원,02-3452-7575,070-7609-9902,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,900,900,62,8,127.0572671,37.49807127,53:31.0,n/a
A1100009,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),A,종합병원,G006,지역응급의료센터,1,침구과 간단한 내과진료 가능,24째 토요일 휴진/,잠실나루역 셔틀버스,재단법인아산사회복지재단서울아산병원,02-3010-3114,02-3010-3333,1700,1700,1700,1700,1700,1130,1500,1500,900,900,900,900,900,900,900,900,55,5,127.1082383,37.52656397,55:14.0,89
A1100003,서울특별시 동작구 흑석로 102 (흑석동),A,종합병원,G006,지역응급의료센터,1,응급의료센터 소화기센터 심장혈관및부정맥센터 척추센터 암센터 건강증진센터 일반검진센터 장기이식센터 당뇨센터 심장센터 인공신장센터 요로결석센터 인터벤션센터 생명사랑위기대응센터 등,점심시간 1~2시 공휴일은 전화 확인 후 방문,지하철 9호선 흑석역 4번 출구에서 도보 3분,중앙대학교병원,18001114,02-6299-1339,1630,1630,1630,1630,1630,1200,1500,1600,830,830,830,830,830,830,900,900,69,73,126.9607938,37.50707428,55:15.0,88
A1100057,서울특별시 강남구 논현로 566 강남차병원(역삼동650-9 606-4 605외2필지(지하7층~지하1층 지상2층~7층)) (역삼동),A,종합병원,G009,응급실운영신고기관,1,응급분만ㅇ(초진ㅇ) / 야간 응급실 - 내 소 가능 / 환자접수 평일 오전 : 08:30~11:30 오후 13:30~16:00/ 토요일 환자접수 12:00,점심시간 12:30~13:30 / 산부인과 토요일 오후진료 13:30~13:30(환자접수 13:30~16:00) - 산부인과만 응급실 초진가능하며 내과소아과는 약처방만 가능합니다.,언주역 5 6번 출구,차의과학대학교강남차병원,02-3468-3000,02-3468-3060,1730,1730,1730,1730,1730,1230,1300,1700,900,900,900,900,900,900,900,900,61,35,127.0346687,37.50680003,55:15.0,n/a
A1100012,서울특별시 서초구 반포대로 222 (반포동),A,종합병원,G006,지역응급의료센터,1,일반진료/종합검진/,예약제로 운영하며 검진전문/일반진료안함 진료시간은 검진 종료시간임,고속터미널역 3번 출구,학교법인가톨릭학원가톨릭대학교서울성모병원,1588-1511,02-2258-2020,1700,1700,1700,1700,1700,1200,1300,1300,800,800,800,800,800,800,900,900,65,91,127.0047273,37.5018008,55:18.0,88
